Type,n,placed,coll,open,payers,liq
New Business,9344,1696017.24,2772.2,1691331.96,7,0.16
Cancel,7109,1609808.27,339146.2,1265511.19,1671,21.07
Active,828,438330.6,5484.38,432741.07,10,1.25
PAID/SIF,1535,389109.63,376366.82,6110.56,1531,96.73
Inactive,314,179352.98,19272.48,160080.5,49,10.75
Cease and Desist,204,108153.96,250.17,107903.79,1,0.23
Follow Up,168,57975.82,783.0,57087.8,3,1.35
Skips,77,35515.27,0.0,35298.77,0,0.0
Deceased,155,27400.63,92.55,27199.83,1,0.34
Bankruptcy,83,18134.66,0.0,18134.66,0,0.0
Dispute,42,10747.51,0.0,10747.51,0,0.0
Broken Promise,27,7653.75,2506.46,5137.62,22,32.75
Hold,2,7431.4,0.0,1019.12,0,0.0
Good Contact,36,6702.31,0.0,6539.83,0,0.0
Promise,4,1948.12,713.73,1234.39,2,36.64
Remove,2,1249.81,0.0,1249.81,0,0.0
Full Payment Pending,4,959.15,607.32,67.63,3,63.32
Spanish,1,479.91,0.0,479.91,0,0.0
Refuse to Pay,4,461.31,0.0,461.31,0,0.0
Payment Review,2,286.35,170.51,115.84,2,59.55
Review,1,172.66,0.0,172.66,0,0.0
Recurring payments,1,145.96,72.98,72.98,1,50.0
Attorney,1,104.94,0.0,104.94,0,0.0
Fraud Accnt,1,85.79,0.0,85.79,0,0.0
