type,accts,placed,collected,open,payers,liq,pct_open
New Business,63778,18398553.41,3362.0,18395191.41,13,0.018273175749636286,40.51537115723613
Active,36315,12530202.02,23529.0,12508759.02,81,0.18777829728877748,27.55051595365407
Follow Up,19428,6365826.1,1901.75,6363654.35,9,0.02987436304614102,14.015935586647437
PAID/SIF,13170,4183367.0,4068901.94,131835.06,13135,97.26380544666533,0.29036644786054416
Cease and Desist,10442,3364490.91,2200.0,3363066.91,9,0.06538879309975607,7.407147936019723
Client Remove,5673,1702523.63,7323.05,1695031.58,39,0.43012912543246173,3.7333035604948015
Skips,2353,775235.0,0.0,775235.0,0,0.0,1.7074534892855433
Good Contact,2040,630410.0,249.75,630160.25,2,0.03961707460224299,1.387926651494773
Zen- Redial,1956,561265.0,0.0,561265.0,0,0.0,1.2361850054033299
Dispute,1523,496497.84,199.0,496099.84,1,0.04008073831700859,1.0926588748469814
Deceased,406,133305.0,0.0,133305.0,0,0.0,0.29360398768013485
Bankruptcy,347,127813.0,0.0,127813.0,0,0.0,0.28150786900237107
Spanish,242,77565.0,0.0,77565.0,0,0.0,0.17083675259299846
Full Payment Pending,133,45238.0,20865.5,24372.5,87,46.12383394491357,0.053680381003969
Broken Promise,109,35127.0,871.0,34256.0,5,2.479574116776269,0.07544876937827313
Cancel,32,30108.27,0.0,30108.27,0,0.0,0.06631340260417969
Promise,85,28195.0,0.0,28195.0,0,0.0,0.062099429373552395
Refuse to Pay,39,12740.0,0.0,12740.0,0,0.0,0.028059823735380653
Payment Review,16,5494.0,3029.5,2464.5,16,55.14197306152166,0.005428056169218652
Hold,5,3134.0,1094.0,2040.0,1,34.90746649649011,0.004493095794362366
Review,10,2876.0,0.0,2876.0,0,0.0,0.00633438407087557
Manager Review,5,1831.0,0.0,1831.0,0,0.0,0.0040327737252340646
Remove,5,1144.0,0.0,1144.0,0,0.0,0.002519657641544385
Drop File,2,1095.0,0.0,1095.0,0,0.0,0.002411735242562152
Hot,2,796.0,0.0,796.0,0,0.0,0.0017531883589766877
Client Follow UP,2,671.0,0.0,671.0,0,0.0,0.001477876116675072
Attorney,2,597.0,0.0,597.0,0,0.0,0.0013148912692325157
Settlement Pending,1,428.0,0.0,428.0,0,0.0,0.0009426691176407315
Fraud Accnt,1,398.0,0.0,398.0,0,0.0,0.0008765941794883439
