vintage,accts,placed,collected,open,payers,tenure,liq
2023-04,375,78309.0,5083.05,73225.95,32,40.7,6.491016358272995
2024-02,1,9700.11,0.0,9700.11,0,30.5,0.0
2024-04,8735,2711614.0,207066.75,2504664.25,677,28.5,7.636291522318442
2024-05,3417,981905.0,61907.75,919947.25,218,27.8,6.3048614682683155
2024-06,11506,3159101.14,222866.0,2936174.14,839,26.4,7.054728231967907
2024-07,2796,965350.55,79034.0,886316.55,254,25.7,8.187077740826894
2024-08,1923,700850.0,64554.0,635301.0,194,24.6,9.210815438396233
2024-09,1866,671242.0,59688.0,611156.0,176,23.7,8.892173016587162
2024-10,4461,1420064.91,117488.0,1302974.91,395,22.6,8.273424628174215
2024-11,3524,1099711.84,76918.0,1022095.84,264,21.6,6.994377727168964
2024-12,4222,1285220.0,112170.0,1173249.0,392,20.6,8.727688644745646
2025-01,3207,971584.0,89105.0,882976.0,297,19.6,9.171106152427376
2025-02,3309,1006417.63,95181.0,911236.63,330,18.7,9.457405868376927
2025-03,6451,1966174.0,192396.0,1774057.0,639,17.6,9.785298757892232
2025-04,6063,1872292.0,172418.99,1699873.01,559,16.5,9.208979689065595
2025-05,6794,2070922.0,167329.0,1904919.0,543,15.7,8.079927684384057
2025-06,6464,1968959.0,167181.0,1803455.0,557,14.6,8.490831957394745
2025-07,4501,1399258.0,123714.0,1275270.0,408,13.6,8.841400227835038
2025-08,4306,1355899.0,137295.5,1220674.5,435,12.6,10.12579108030908
2025-09,5635,1807423.0,172118.95,1636145.05,535,11.6,9.522892538160685
2025-10,4854,1610554.0,163116.5,1448104.5,484,10.6,10.12797459756084
2025-11,4744,1520712.0,145260.0,1376592.0,455,9.7,9.552104540504711
2025-12,7425,2341653.0,196432.5,2146924.5,625,8.7,8.388625470981397
2026-01,4745,1476547.0,143088.0,1336369.0,464,7.6,9.690717599913853
2026-02,4335,1346039.0,136595.0,1211043.0,442,6.7,10.147922905651322
2026-03,7747,2483622.0,231550.0,2255086.0,716,5.6,9.323077344297964
2026-04,6943,2267456.0,185025.0,2082540.0,570,4.6,8.160026037991475
2026-05,7671,2473111.0,194685.5,2279987.5,607,3.7,7.872089040888177
2026-06,8309,2692492.0,200419.0,2492859.0,627,2.7,7.443624716433698
2026-07,5658,1810894.0,132111.0,1679712.0,406,1.6,7.295346939136139
2026-08,6135,1991849.0,81729.0,1910365.0,258,0.6,4.103172479439958
